"","trial","electrodes","bin_1","bin_2","bin_3","bin_4","bin_5","bin_6","bin_7","bin_8","bin_9","bin_10","bin_11","bin_12","bin_13","bin_14","bin_15","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_foregone","ineq_disadvent","ineq_advent","ineq_disadvent_choice","ineq_advent_choice","ineq_var","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"32",2,"LAM5-LAM6",0.42088766605,0.8578486705,0.96194762205,1.12500961755,1.17816788755,0.86124613155,0.5396389755,0.5984241895,0.6119360395,0.8848697955,1.3983098955,1.708167471,1.945181621,1.787568886,1.323031753,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"33",2,"LHH4-LHH5",0.563124317,0.600565066,0.694230316,0.454714058,0.434121749,0.6389853795,0.2730319645,0.0676415225,-0.235832643,-0.418379108,-0.2753337155,-0.2411197155,-0.1334192095,-0.21228676495,-0.23484682345,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"34",2,"LAM2-LAM3",0.531590058,0.6095634855,0.5124521425,0.389869741,0.377506291,0.4860274135,0.6021309135,0.657200915,0.616528315,0.508356769,0.243358919,0.136775523,0.243862273,0.463117919,0.966845369,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"35",2,"LHB9-LHB10",-0.380053267125,-0.698012595125,-0.815747035125,-0.952113192625,-0.954912608125,-0.862108358125,-0.722065661125,-0.568392251125,-0.480537746125,-0.295943246125,0.00871660687499998,0.020386821375,-0.102925164625,-0.181861876625,-0.544760661625,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"36",2,"LAM1-LAM2",-0.33503265,-0.2814033,-0.2415089,-0.22248055,-0.06021805,-0.10539305,-0.037201971,0.169479629,0.444906979,0.997506379,1.106132335,0.919415375,0.7513985305,0.5156248805,0.6561600955,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"37",2,"LIP2-LIP3",0.9755473548,1.0687975548,0.9682339048,0.9141040048,1.1430095548,1.1274056948,0.8179052548,0.9682151048,0.9267061548,0.7646469148,1.0264841048,0.8467454548,0.8174491548,1.1650608048,1.3767312048,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"38",2,"LIP5-LIP6",0.097516921,0.106976091,0.241081635,0.40130242,0.2767109,0.13752172,-0.27330408,-0.59477913,-0.645520305,-0.4754736805,-0.1425966805,-0.0478373975,0.1049406395,0.131108265,0.061380798,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"39",2,"LIP4-LIP5",-0.4626773884,-0.2581797724,0.4658697776,0.9629476956,0.8467627031,0.8179058981,0.1934719481,-0.2959573329,-0.1981761404,-0.1678107542,-0.0686252492,-0.2403378682,-0.4331493262,-0.5047901239,-0.6429239789,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"40",2,"LAM3-LAM4",-0.2414303065,-0.822853657,-1.241858812,-1.754855112,-1.8555322855,-1.7208499295,-1.695115443,-1.495342684,-1.353867304,-1.3094092095,-1.240256141,-1.0716229,-1.176026985,-1.289731635,-0.923756035,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
"41",2,"LHB4-LHB5",-0.528997679075,-0.851622044075,-1.145575183075,-1.117444733075,-1.168184933075,-1.023237989775,-0.742190989775,-0.562218436775,-0.545927586775,-0.446067296825,-0.311514646825,-0.355917181325,-0.154649671325,-0.156054219075,-0.491884819075,3082,"DG_s15",3.085,3.791,6.023,6.025,18,18,10,10,2.232,"Right",18,18,0,0,0,0,0,0,0,0,0,0,"Equal",8,8,10,18,10,18
